model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,10.754477804628044,0.5798394290811775,52,8968
global,global_in_41_trigger,,11,11.202734495464124,0.5129348795718109,46,8968
global,global_in_73_trigger,,11,11.163886539006638,0.535236396074933,48,8968
global,global_in_51_trigger,,11,11.172164116450233,0.5129348795718109,46,8968
global,global_in_74_trigger,,11,10.610160360583016,0.5798394290811775,52,8968
41,41_trigger,,12,1.0007331781787174,58.05084745762712,5206,8968
global,combine,,12,8.489610506954413,0.4683318465655665,42,8968
global,global_in_41_trigger,,12,8.81622901970951,0.3902765388046387,35,8968
global,global_in_73_trigger,,12,8.78389987809439,0.412578055307761,37,8968
global,global_in_51_trigger,,12,8.795866921158586,0.40142729705619984,36,8968
global,global_in_74_trigger,,12,8.393933078415365,0.47948260481712757,43,8968
73,73_trigger,,13,12.042540706767236,0.04460303300624443,4,8968
41,41_trigger,,13,9.228177009364732,2.642729705619982,237,8968
global,combine,,13,9.000870177194969,0.5129348795718109,46,8968
global,global_in_41_trigger,,13,9.36687024377692,0.44603033006244425,40,8968
global,global_in_73_trigger,,13,9.333870393479115,0.45718108831400533,41,8968
global,global_in_51_trigger,,13,9.343721844063179,0.44603033006244425,40,8968
global,global_in_74_trigger,,13,8.880333407875899,0.5129348795718109,46,8968
74,74_trigger,,14,8.765437212083937,1.9513826940231935,175,8968
global,combine,,14,9.07586508707528,0.6467439785905441,58,8968
global,global_in_41_trigger,,14,9.445060066406903,0.5575379125780553,50,8968
global,global_in_73_trigger,,14,9.415543494960435,0.5909901873327387,53,8968
global,global_in_51_trigger,,14,9.418344255221092,0.5575379125780553,50,8968
global,global_in_74_trigger,,14,8.957249438092711,0.6690454950936664,60,8968
global,combine,,15,10.062266804935888,0.412578055307761,37,8968
global,global_in_41_trigger,,15,10.458474418715001,0.27876895628902765,25,8968
global,global_in_73_trigger,,15,10.424351858943833,0.27876895628902765,25,8968
global,global_in_51_trigger,,15,10.431067448870397,0.27876895628902765,25,8968
global,global_in_74_trigger,,15,9.944518605690785,0.40142729705619984,36,8968
41,41_trigger,,16,8.726861252729432,2.185548617305977,196,8968
global,combine,,16,9.423454185982669,0.6355932203389831,57,8968
global,global_in_41_trigger,,16,9.80936081466879,0.5463871543264942,49,8968
global,global_in_73_trigger,,16,9.78109654946374,0.5463871543264942,49,8968
global,global_in_51_trigger,,16,9.779859535190061,0.5575379125780553,50,8968
global,global_in_74_trigger,,16,9.29495338113259,0.6355932203389831,57,8968
