local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,21,11,1,0.0007879838813096285,98.63481228668942,289,293
23,22,11,2,0.0003562642668839544,99.65870307167235,292,293
72,21,11,1,0.0006919546867720783,98.35841313269493,719,731
72,22,11,2,0.00013625762949232012,99.86320109439124,730,731
61,21,11,1,0.0015623110812157393,97.56795422031473,682,699
61,22,11,2,0.0008826666744425893,98.42632331902719,688,699
11,21,11,1,0.0016025471268221736,96.74418604651163,624,645
11,22,11,2,0.0018734268378466368,95.50387596899225,616,645
71,21,11,1,0.0011066795559599996,97.39884393063583,1348,1384
71,22,11,2,0.0014445290435105562,97.1820809248555,1345,1384
42,21,11,1,0.0010326391784474254,97.45762711864407,230,236
42,22,11,2,0.000613532611168921,99.57627118644068,235,236
45,21,11,1,0.0015705670230090618,96.97452229299363,609,628
45,22,11,2,0.001315571484155953,96.97452229299363,609,628
37,21,11,1,0.0012915489496663213,97.67441860465115,840,860
37,22,11,2,0.0014968622708693147,97.20930232558139,836,860
21,21,11,1,0.0012869492638856173,97.43589743589743,304,312
21,22,11,2,0.0010172598995268345,98.07692307692307,306,312
35,21,11,1,0.0008074053912423551,98.19639278557113,490,499
35,22,11,2,0.0006237121415324509,98.59719438877755,492,499
11,23,12,1,0.0012793253408744931,97.20930232558139,627,645
11,24,12,2,0.0009493406396359205,98.29457364341086,634,645
59,23,12,1,0.001747464295476675,96.84210526315789,736,760
59,24,12,2,0.0009372034692205489,98.02631578947368,745,760
62,23,12,1,0.0009653785964474082,98.10874704491725,415,423
62,24,12,2,0.00048503128346055746,99.52718676122932,421,423
28,23,12,1,0.001576209207996726,97.2055888223553,487,501
28,24,12,2,0.0007628476596437395,98.20359281437125,492,501
65,23,12,1,0.0011900310637429357,96.7654986522911,359,371
65,24,12,2,0.0005850057350471616,98.92183288409704,367,371
22,23,12,1,0.001457778736948967,98.11320754716981,572,583
22,24,12,2,0.0007284018793143332,98.45626072041166,574,583
78,23,12,1,0.0010688097681850195,98.67986798679867,299,303
78,24,12,2,0.0012847515754401684,97.35973597359737,295,303
58,23,12,1,0.0018465296598151326,96.73913043478261,267,276
58,24,12,2,0.0005489487666636705,99.27536231884058,274,276
41,23,12,1,0.022006141021847725,57.920792079207914,351,606
41,24,12,2,0.015999451279640198,57.26072607260726,347,606
81,23,12,1,0.0010758989956229925,97.96251018744906,1202,1227
81,24,12,2,0.0005545709864236414,98.77750611246944,1212,1227
54,25,13,1,0.0014695029240101576,96.91714836223507,503,519
54,26,13,2,0.0011377346236258745,97.88053949903662,508,519
55,25,13,1,0.0018731842283159494,97.74011299435028,346,354
55,26,13,2,0.0005507318419404328,99.15254237288136,351,354
61,25,13,1,0.0014212742680683732,96.99570815450643,678,699
61,26,13,2,0.0007853129645809531,98.28326180257511,687,699
73,25,13,1,0.0011496448423713446,97.80033840947546,578,591
73,26,13,2,0.0005181610467843711,98.98477157360406,585,591
18,25,13,1,0.0034552812576293945,96.29629629629629,442,459
18,26,13,2,0.002473012777045369,95.20697167755992,437,459
42,25,13,1,0.0013382056495174766,97.88135593220339,231,236
42,26,13,2,0.0006649548304267228,99.57627118644068,235,236
87,25,13,1,0.0010722181759774685,97.23404255319149,457,470
87,26,13,2,0.0006961382459849119,98.08510638297872,461,470
41,25,13,1,0.0011513850186020136,97.6897689768977,592,606
41,26,13,2,0.0004651498456951231,98.67986798679867,598,606
50,25,13,1,0.0021136649884283543,96.20253164556962,456,474
50,26,13,2,0.001166989211924374,97.67932489451476,463,474
28,25,13,1,0.0012356844963505864,97.80439121756487,490,501
28,26,13,2,0.0005034993519075215,98.60279441117764,494,501
37,27,14,1,0.0010930545395240188,97.55813953488372,839,860
37,28,14,2,0.0007735915714874864,98.0232558139535,843,860
92,27,14,1,0.0012363834539428353,97.54535752401281,914,937
92,28,14,2,0.0008425722480751574,98.39914621131271,922,937
95,27,14,1,0.0006464416510425508,98.33887043189368,592,602
95,28,14,2,0.0002228984230896458,99.5016611295681,599,602
76,27,14,1,0.00446558091789484,97.43589743589743,76,78
76,28,14,2,0.0003445593174546957,100.0,78,78
13,27,14,1,0.0010721212020143867,97.82016348773843,718,734
13,28,14,2,0.00044753169640898705,99.59128065395095,731,734
99,27,14,1,0.0010652316268533468,98.40848806366049,371,377
99,28,14,2,0.0005752337747253478,99.20424403183023,374,377
94,27,14,1,0.0014950769254937768,96.66666666666667,145,150
94,28,14,2,0.00040782373980619013,99.33333333333333,149,150
74,27,14,1,0.0015585309593006968,96.40933572710951,537,557
74,28,14,2,0.001165764406323433,98.02513464991023,546,557
45,27,14,1,0.001337728463113308,97.61146496815286,613,628
45,28,14,2,0.0006633763550780714,98.88535031847134,621,628
44,27,14,1,0.0023349139373749495,96.5183752417795,499,517
44,28,14,2,0.002534101717174053,93.61702127659575,484,517
60,29,15,1,0.0021659373305737972,96.7455621301775,327,338
60,30,15,2,0.0012303692055866122,97.92899408284023,331,338
