model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,10.995113246893904,0.3902765388046387,35,8968
global,global_in_41_trigger,,11,11.486191498605828,0.3345227475468332,30,8968
global,global_in_73_trigger,,11,11.440831160566617,0.3456735057983943,31,8968
global,global_in_51_trigger,,11,11.447775158469534,0.3456735057983943,31,8968
global,global_in_74_trigger,,11,10.85498148197579,0.3902765388046387,35,8968
41,41_trigger,,12,0.7079941878671842,69.26851025869759,6212,8968
global,combine,,12,8.506826706170823,0.735950044603033,66,8968
global,global_in_41_trigger,,12,8.838843165286198,0.6467439785905441,58,8968
global,global_in_73_trigger,,12,8.814998460815593,0.6690454950936664,60,8968
global,global_in_51_trigger,,12,8.813364068915226,0.6467439785905441,58,8968
global,global_in_74_trigger,,12,8.394060179551301,0.735950044603033,66,8968
73,73_trigger,,13,13.79310712210309,0.05575379125780553,5,8968
41,41_trigger,,13,10.488471034591907,2.196699375557538,197,8968
global,combine,,13,10.528491760342384,0.3902765388046387,35,8968
global,global_in_41_trigger,,13,10.954020670330173,0.3679750223015165,33,8968
global,global_in_73_trigger,,13,10.923713342086424,0.3679750223015165,33,8968
global,global_in_51_trigger,,13,10.922271532846496,0.3679750223015165,33,8968
global,global_in_74_trigger,,13,10.38942252132746,0.412578055307761,37,8968
74,74_trigger,,14,8.638998206016955,2.6984834968777878,242,8968
global,combine,,14,10.163880941168099,0.5909901873327387,53,8968
global,global_in_41_trigger,,14,10.631811812347221,0.47948260481712757,43,8968
global,global_in_73_trigger,,14,10.594032104689559,0.4906333630686887,44,8968
global,global_in_51_trigger,,14,10.594245420620975,0.4906333630686887,44,8968
global,global_in_74_trigger,,14,10.035719498898917,0.6021409455842998,54,8968
global,combine,,15,10.966629508985779,0.6801962533452275,61,8968
global,global_in_41_trigger,,15,11.416662599017426,0.5909901873327387,53,8968
global,global_in_73_trigger,,15,11.380334718859057,0.6244424620874219,56,8968
global,global_in_51_trigger,,15,11.382047259307779,0.5909901873327387,53,8968
global,global_in_74_trigger,,15,10.83843961642535,0.735950044603033,66,8968
41,41_trigger,,16,10.584099836800377,2.7653880463871543,248,8968
global,combine,,16,10.534090548301785,0.5575379125780553,50,8968
global,global_in_41_trigger,,16,11.059990139330848,0.5017841213202497,45,8968
global,global_in_73_trigger,,16,11.025777147243748,0.5017841213202497,45,8968
global,global_in_51_trigger,,16,11.010755869876476,0.524085637823372,47,8968
global,global_in_74_trigger,,16,10.416779832048782,0.5686886708296164,51,8968
global,combine,,17,11.27544836270607,0.28991971454058874,26,8968
global,global_in_41_trigger,,17,11.840801805603409,0.211864406779661,19,8968
global,global_in_73_trigger,,17,11.79671907552537,0.23416592328278324,21,8968
global,global_in_51_trigger,,17,11.78760559616293,0.22301516503122212,20,8968
global,global_in_74_trigger,,17,11.1660112871005,0.27876895628902765,25,8968
global,combine,,18,11.822495192528622,0.35682426404995543,32,8968
global,global_in_41_trigger,,18,12.386692548202255,0.31222123104371097,28,8968
global,global_in_73_trigger,,18,12.34598418498656,0.31222123104371097,28,8968
global,global_in_51_trigger,,18,12.336360687235441,0.31222123104371097,28,8968
global,global_in_74_trigger,,18,11.704417019417837,0.3679750223015165,33,8968
global,combine,,19,12.191041583147143,0.3010704727921499,27,8968
global,global_in_41_trigger,,19,12.753266651007237,0.22301516503122212,20,8968
global,global_in_73_trigger,,19,12.70840905501734,0.23416592328278324,21,8968
global,global_in_51_trigger,,19,12.704794487285358,0.22301516503122212,20,8968
global,global_in_74_trigger,,19,12.071937589960157,0.28991971454058874,26,8968
global,combine,,20,13.029195411198911,0.13380909901873325,12,8968
global,global_in_41_trigger,,20,13.616930991384624,0.08920606601248886,8,8968
global,global_in_73_trigger,,20,13.569538851490412,0.08920606601248886,8,8968
global,global_in_51_trigger,,20,13.564516715765212,0.08920606601248886,8,8968
