model,epoch,average_loss,accuracy,correct_data,total_data
global,11,12.211429145057535,0.45718108831400533,41,8968
41,12,0.8087950656713916,68.46565566458519,6140,8968
41,12,114424.48001226583,35.013380909901876,3140,8968
global,12,0.8128413745699771,68.39875111507583,6134,8968
global,13,1.1060404506354966,51.38269402319358,4608,8968
73,14,0.9114270056602043,45.13826940231936,4048,8968
73,14,0.0,100.0,8968,8968
global,14,1.2350102338697313,31.824264049955396,2854,8968
global,15,1.6633171482239315,18.922836752899197,1697,8968
51,16,0.24028781786175524,89.80820695807314,8054,8968
51,16,0.0,100.0,8968,8968
global,16,0.32805145047372414,85.06913470115968,7629,8968
global,17,0.6737877076274045,69.55842997323818,6238,8968
74,18,0.014521925524043303,99.45361284567352,8919,8968
74,18,0.0,100.0,8968,8968
global,18,0.02969659440677171,98.61730597680642,8844,8968
global,19,0.07671621857444344,96.48751115075825,8653,8968
global,20,0.10849167580579645,95.28322925958965,8545,8968
global,21,0.14423078803360515,94.30196253345228,8457,8968
global,22,0.1840330700088462,93.10883140053524,8350,8968
global,23,0.22431366100581654,91.83764495985727,8236,8968
global,24,0.2394521868090668,91.33586083853702,8191,8968
global,25,0.26249457349424166,90.6222123104371,8127,8968
global,26,0.2815430709572109,90.09812667261374,8080,8968
global,27,0.3166869029097,88.94959857270295,7977,8968
global,28,0.33629650850576764,88.47011596788582,7934,8968
global,29,0.3714687764175171,87.31043710972347,7830,8968
global,30,0.39903325485156965,86.36262265834077,7745,8968
global,31,0.42457466690163864,85.34790365744871,7654,8968
global,32,0.4650654275963925,84.26628010704728,7557,8968
global,33,0.48516738545033256,83.7421944692239,7510,8968
global,34,0.5135189017262659,83.09545049063335,7452,8968
global,35,0.5407024839964432,82.49330954504906,7398,8968
global,36,0.5870098068605674,81.66815343443355,7324,8968
global,37,0.6036974156306962,81.0771632471008,7271,8968
global,38,0.6516933686413157,79.92863514719001,7168,8968
global,39,0.665042213278089,79.17038358608386,7100,8968
global,40,0.6827124942635767,78.42328278322927,7033,8968
global,41,0.7003837393714741,78.07760927743087,7002,8968
global,42,0.7019599865420816,77.96610169491525,6992,8968
