model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,10.754477540049352,0.5798394290811775,52,8968
global,global_in_41_trigger,,11,11.20273431170529,0.5129348795718109,46,8968
global,global_in_73_trigger,,11,11.16388635780001,0.535236396074933,48,8968
global,global_in_51_trigger,,11,11.172163807633304,0.5129348795718109,46,8968
global,global_in_74_trigger,,11,10.610160231271244,0.5798394290811775,52,8968
41,41_trigger,,12,1.0014695492735088,58.028545941124,5204,8968
global,combine,,12,8.489951947881748,0.4683318465655665,42,8968
global,global_in_41_trigger,,12,8.816617439943801,0.3902765388046387,35,8968
global,global_in_73_trigger,,12,8.78430750155215,0.412578055307761,37,8968
global,global_in_51_trigger,,12,8.79624854571898,0.40142729705619984,36,8968
global,global_in_74_trigger,,12,8.394251255984821,0.47948260481712757,43,8968
73,73_trigger,,13,12.042802887235126,0.04460303300624443,4,8968
41,41_trigger,,13,9.22799740382117,2.642729705619982,237,8968
global,combine,,13,8.999133326133164,0.5129348795718109,46,8968
global,global_in_41_trigger,,13,9.365518515073859,0.44603033006244425,40,8968
global,global_in_73_trigger,,13,9.332550125394306,0.45718108831400533,41,8968
global,global_in_51_trigger,,13,9.342326822714758,0.44603033006244425,40,8968
global,global_in_74_trigger,,13,8.878436018801715,0.5129348795718109,46,8968
74,74_trigger,,14,8.769873064400148,1.9290811775200714,173,8968
global,combine,,14,9.076975454505696,0.6578947368421052,59,8968
global,global_in_41_trigger,,14,9.44588612191492,0.5686886708296164,51,8968
global,global_in_73_trigger,,14,9.416437227315503,0.5798394290811775,52,8968
global,global_in_51_trigger,,14,9.41910075120475,0.5686886708296164,51,8968
global,global_in_74_trigger,,14,8.958281752682497,0.6690454950936664,60,8968
global,combine,,15,10.059706451422821,0.412578055307761,37,8968
global,global_in_41_trigger,,15,10.456136474643404,0.27876895628902765,25,8968
global,global_in_73_trigger,,15,10.42193147096115,0.27876895628902765,25,8968
global,global_in_51_trigger,,15,10.42863141501407,0.27876895628902765,25,8968
global,global_in_74_trigger,,15,9.94211476961488,0.40142729705619984,36,8968
41,41_trigger,,16,8.730270882571626,2.1743978590544155,195,8968
global,combine,,16,9.424900230183122,0.6355932203389831,57,8968
global,global_in_41_trigger,,16,9.810439273994167,0.5463871543264942,49,8968
global,global_in_73_trigger,,16,9.782090904242645,0.5463871543264942,49,8968
global,global_in_51_trigger,,16,9.78095919058644,0.5575379125780553,50,8968
global,global_in_74_trigger,,16,9.296121957151088,0.6467439785905441,58,8968
global,combine,,17,10.446028754500594,0.3010704727921499,27,8968
global,global_in_41_trigger,,17,10.8850375455368,0.23416592328278324,21,8968
global,global_in_73_trigger,,17,10.848278243024895,0.23416592328278324,21,8968
global,global_in_51_trigger,,17,10.852527986776606,0.23416592328278324,21,8968
global,global_in_74_trigger,,17,10.324836097159203,0.3010704727921499,27,8968
global,combine,,18,10.279269690602938,0.423728813559322,38,8968
global,global_in_41_trigger,,18,10.695449733819204,0.35682426404995543,32,8968
global,global_in_73_trigger,,18,10.658742285327758,0.3679750223015165,33,8968
global,global_in_51_trigger,,18,10.665805308761392,0.3456735057983943,31,8968
global,global_in_74_trigger,,18,10.16172768578372,0.412578055307761,37,8968
