local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007879838813096285,98.63481228668942,289,293
72,11,11,1,0.0006878440035507083,98.08481532147742,717,731
61,11,11,1,0.00171576882712543,96.99570815450643,678,699
11,11,11,1,0.0018595800502225757,96.74418604651163,624,645
71,11,11,1,0.0010704660089686513,97.97687861271676,1356,1384
42,11,11,1,0.0010264985030516982,97.88135593220339,231,236
45,11,11,1,0.0015260842628777027,97.45222929936305,612,628
37,11,11,1,0.0018463532906025648,96.86046511627907,833,860
21,11,11,1,0.0014203803148120642,97.43589743589743,304,312
35,11,11,1,0.0006733498303219676,98.59719438877755,492,499
11,12,12,1,0.0013102991506457329,97.51937984496124,629,645
59,12,12,1,0.0020040401723235846,96.44736842105263,733,760
62,12,12,1,0.0007905413513071835,98.58156028368793,417,423
28,12,12,1,0.0014307881938293576,96.6067864271457,484,501
65,12,12,1,0.0011006316635757685,97.30458221024259,361,371
22,12,12,1,0.0018496194388717413,97.59862778730704,569,583
78,12,12,1,0.0011588992783799767,97.02970297029702,294,303
58,12,12,1,0.0015620846534147859,97.46376811594203,269,276
41,111,12,1,0.020885778591036797,61.221122112211226,371,606
41,112,12,2,0.016280274838209152,59.900990099009896,363,606
41,113,12,3,0.012560191564261913,66.006600660066,400,606
41,114,12,4,0.012743855826556683,64.1914191419142,389,606
41,115,12,5,0.011423734948039055,66.66666666666666,404,606
41,116,12,6,0.011329429224133492,68.64686468646865,416,606
41,117,12,7,0.01116881426423788,67.82178217821783,411,606
41,118,12,8,0.010569465346634388,70.46204620462046,427,606
41,119,12,9,0.010671498253941536,67.65676567656766,410,606
41,120,12,10,0.010619672015309334,68.48184818481849,415,606
81,12,12,1,0.0009049209766089916,98.2885085574572,1206,1227
54,13,13,1,0.0016713375225663185,96.53179190751445,501,519
55,13,13,1,0.0018538651056587696,97.45762711864407,345,354
61,13,13,1,0.0020465217530727386,95.27896995708154,666,699
73,13,13,1,0.0010845670476555824,98.30795262267344,581,591
18,13,13,1,0.002317451871931553,95.42483660130719,438,459
42,13,13,1,0.0016443876083940268,98.30508474576271,232,236
87,13,13,1,0.0012604489456862211,97.23404255319149,457,470
41,13,13,1,0.0013211624464020133,97.85478547854785,593,606
50,13,13,1,0.0018610390834510326,96.41350210970464,457,474
28,13,13,1,0.0013421744806692004,97.80439121756487,490,501
37,14,14,1,0.001239390461705625,97.44186046511628,838,860
92,14,14,1,0.001068377634510398,97.65208110992529,915,937
95,14,14,1,0.0005771304713562131,98.67109634551495,594,602
76,14,14,1,0.002412226516753435,94.87179487179486,74,78
13,14,14,1,0.0015322912950068712,96.32152588555857,707,734
99,14,14,1,0.0010944058885797858,98.14323607427056,370,377
94,14,14,1,0.0017300071194767952,97.33333333333334,146,150
74,14,14,1,0.0015350541798397899,97.30700179533214,542,557
45,14,14,1,0.0013951571891084313,98.08917197452229,616,628
44,14,14,1,0.002061140490695834,97.29206963249516,503,517
60,15,15,1,0.0016947591211646795,96.7455621301775,327,338
49,15,15,1,0.001235686126165092,96.83794466403161,490,506
65,15,15,1,0.0011796096805483103,97.30458221024259,361,371
14,15,15,1,0.001238252967596054,97.87234042553192,368,376
36,15,15,1,0.0009498437284491956,98.1094527363184,986,1005
24,15,15,1,0.0017677199793979526,96.04221635883906,364,379
7,15,15,1,0.001078999019227922,98.08612440191388,410,418
4,15,15,1,0.0010090360883623362,98.17629179331307,646,658
76,15,15,1,0.0008047329029068351,98.71794871794873,77,78
39,15,15,1,0.0010376361897215247,98.44357976653697,253,257
26,16,16,1,0.0013342008460313082,97.47292418772562,540,554
29,16,16,1,0.000858945248182863,98.10379241516966,983,1002
4,16,16,1,0.0009604132501408458,97.87234042553192,644,658
41,16,16,1,0.001413456629961729,97.6897689768977,592,606
99,16,16,1,0.0008656859281472862,99.20424403183023,374,377
67,16,16,1,0.0011835352052003145,97.79559118236473,976,998
91,16,16,1,0.0006388346664607525,98.828125,253,256
76,16,16,1,0.000961248588282615,98.71794871794873,77,78
8,16,16,1,0.0017331709386780858,96.6824644549763,612,633
25,16,16,1,0.0013421211624518037,97.68160741885626,632,647
66,17,17,1,0.0009483092580921948,98.18181818181819,648,660
68,17,17,1,0.0007651069317944348,98.17813765182186,485,494
59,17,17,1,0.0016116701299324632,96.97368421052632,737,760
62,17,17,1,0.0006971373222768307,99.05437352245863,419,423
31,17,17,1,0.0010411308612674475,97.72455089820359,816,835
10,17,17,1,0.0014674108242616057,97.08520179372198,866,892
23,17,17,1,0.0006579365581274033,99.31740614334471,291,293
7,17,17,1,0.0011121421121060848,98.32535885167464,411,418
99,17,17,1,0.0007538521313108504,99.20424403183023,374,377
45,17,17,1,0.0012325313873589039,96.97452229299363,609,628
63,18,18,1,0.0015997550217434764,96.28796400449944,856,889
55,18,18,1,0.0014137316029518843,98.0225988700565,347,354
79,18,18,1,0.0016182346735149622,95.6043956043956,174,182
9,18,18,1,0.0009731689351610839,97.93577981651376,427,436
62,18,18,1,0.0006929703522473574,99.29078014184397,420,423
56,18,18,1,0.0011281779734417796,98.18181818181819,864,880
96,18,18,1,0.0013343228492885828,97.91666666666666,658,672
12,18,18,1,0.0013250934425741434,97.84482758620689,1135,1160
92,18,18,1,0.0010940789943560958,97.97225186766275,918,937
86,18,18,1,0.0012246423866599798,97.6,244,250
